car_name,speed,safe_distance,reaction_time,time
GentleCar9,2.49,7.58,0.1,0.0
GentleCar10,2.63,1.53,0.1,0.0
GentleCar11,2.83,0.76,0.1,0.0
GentleCar12,2.83,0.76,0.1,0.0
GentleCar1,2.48,11.1,0.1,0.0
GentleCar2,2.48,11.1,0.1,0.0
GentleCar3,2.48,11.1,0.1,0.0
GentleCar4,2.48,11.1,0.1,0.0
GentleCar5,2.48,11.1,0.1,0.0
GentleCar6,2.48,11.1,0.1,0.0
GentleCar7,2.49,8.02,0.1,0.0
GentleCar8,2.49,7.8,0.1,0.0
GentleCar9,2.49,7.69,0.1,0.0
GentleCar10,2.62,1.64,0.1,0.0
GentleCar11,2.78,0.87,0.1,0.0
GentleCar12,2.78,0.87,0.1,0.0
GentleCar1,2.48,11.1,0.1,0.0
GentleCar2,2.48,11.1,0.1,0.0
GentleCar3,2.48,11.1,0.1,0.0
GentleCar4,2.48,11.1,0.1,0.0
GentleCar5,2.48,11.1,0.1,0.0
GentleCar6,2.48,11.1,0.1,0.0
GentleCar7,2.49,8.13,0.1,0.0
GentleCar8,2.49,7.91,0.1,0.0
GentleCar9,2.49,7.8,0.1,0.0
GentleCar10,2.61,1.75,0.1,0.0
GentleCar11,2.74,0.98,0.1,0.0
GentleCar12,2.74,0.98,0.1,0.0
GentleCar1,2.48,11.1,0.1,0.0
GentleCar2,2.48,11.1,0.1,0.0
GentleCar3,2.48,11.1,0.1,0.0
GentleCar4,2.48,11.1,0.1,0.0
GentleCar5,2.48,11.1,0.1,0.0
GentleCar6,2.48,11.1,0.1,0.0
GentleCar7,2.49,8.24,0.1,0.0
GentleCar8,2.49,8.02,0.1,0.0
GentleCar9,2.49,7.91,0.1,0.0
GentleCar10,2.6,1.86,0.1,0.0
GentleCar11,2.71,1.09,0.1,0.0
GentleCar12,2.71,1.09,0.1,0.0
GentleCar1,2.48,11.1,0.1,0.0
GentleCar2,2.48,11.1,0.1,0.0
GentleCar3,2.48,11.1,0.1,0.0
GentleCar4,2.48,11.1,0.1,0.0
GentleCar5,2.48,11.1,0.1,0.0
GentleCar6,2.48,11.1,0.1,0.0
GentleCar7,2.49,8.35,0.1,0.0
GentleCar8,2.49,8.13,0.1,0.0
GentleCar9,2.49,8.02,0.1,0.0
GentleCar10,2.59,1.97,0.1,0.0
GentleCar11,2.68,1.2,0.1,0.0
GentleCar12,2.68,1.2,0.1,0.0
GentleCar1,2.48,11.1,0.1,0.0
GentleCar2,2.48,11.1,0.1,0.0
GentleCar3,2.48,11.1,0.1,0.0
GentleCar4,2.48,11.1,0.1,0.0
GentleCar5,2.48,11.1,0.1,0.0
GentleCar6,2.48,11.1,0.1,0.0
GentleCar7,2.49,8.46,0.1,0.0
GentleCar8,2.49,8.24,0.1,0.0
GentleCar9,2.49,8.13,0.1,0.0
GentleCar10,2.58,2.08,0.1,0.0
GentleCar11,2.66,1.31,0.1,0.0
GentleCar12,2.66,1.31,0.1,0.0
GentleCar1,2.48,11.1,0.1,0.0
GentleCar2,2.48,11.1,0.1,0.0
GentleCar3,2.48,11.1,0.1,0.0
GentleCar4,2.48,11.1,0.1,0.0
GentleCar5,2.48,11.1,0.1,0.0
GentleCar6,2.48,11.1,0.1,0.0
GentleCar7,2.49,8.57,0.1,0.0
GentleCar8,2.49,8.35,0.1,0.0
GentleCar9,2.49,8.24,0.1,0.0
GentleCar10,2.58,2.19,0.1,0.0
GentleCar11,2.65,1.42,0.1,0.0
GentleCar12,2.65,1.42,0.1,0.0
GentleCar1,2.48,11.1,0.1,0.0
GentleCar2,2.48,11.1,0.1,0.0
GentleCar3,2.48,11.1,0.1,0.0
GentleCar4,2.48,11.1,0.1,0.0
GentleCar5,2.48,11.1,0.1,0.0
GentleCar6,2.48,11.1,0.1,0.0
GentleCar7,2.49,8.68,0.1,0.0
GentleCar8,2.49,8.46,0.1,0.0
GentleCar9,2.49,8.35,0.1,0.0
GentleCar10,2.57,2.3,0.1,0.0
GentleCar11,2.63,1.53,0.1,0.0
GentleCar12,2.63,1.53,0.1,0.0
GentleCar1,2.48,11.1,0.1,0.0
GentleCar2,2.48,11.1,0.1,0.0
GentleCar3,2.48,11.1,0.1,0.0
GentleCar4,2.48,11.1,0.1,0.0
GentleCar5,2.48,11.1,0.1,0.0
GentleCar6,2.48,11.1,0.1,0.0
GentleCar7,2.49,8.79,0.1,0.0
GentleCar8,2.49,8.57,0.1,0.0
GentleCar9,2.49,8.46,0.1,0.0
GentleCar10,2.57,2.41,0.1,0.0
GentleCar11,2.62,1.64,0.1,0.0
GentleCar12,2.62,1.64,0.1,0.0
GentleCar1,2.48,11.1,0.1,0.0
GentleCar2,2.48,11.1,0.1,0.0
GentleCar3,2.48,11.1,0.1,0.0
GentleCar4,2.48,11.1,0.1,0.0
GentleCar5,2.48,11.1,0.1,0.0
GentleCar6,2.48,11.1,0.1,0.0
GentleCar7,2.49,8.9,0.1,0.0
GentleCar8,2.49,8.68,0.1,0.0
GentleCar9,2.49,8.57,0.1,0.0
GentleCar10,2.56,2.52,0.1,0.0
GentleCar11,2.61,1.75,0.1,0.0
GentleCar12,2.61,1.75,0.1,0.0
GentleCar1,2.48,11.1,0.1,0.0
GentleCar2,2.48,11.1,0.1,0.0
GentleCar3,2.48,11.1,0.1,0.0
GentleCar4,2.48,11.1,0.1,0.0
GentleCar5,2.48,11.1,0.1,0.0
GentleCar6,2.48,11.1,0.1,0.0
GentleCar7,2.49,9.01,0.1,0.0
GentleCar8,2.49,8.79,0.1,0.0
GentleCar9,2.49,8.68,0.1,0.0
GentleCar10,2.56,2.63,0.1,0.0
GentleCar11,2.6,1.86,0.1,0.0
GentleCar12,2.6,1.86,0.1,0.0
GentleCar1,2.48,11.1,0.1,0.0
GentleCar2,2.48,11.1,0.1,0.0
GentleCar3,2.48,11.1,0.1,0.0
GentleCar4,2.48,11.1,0.1,0.0
GentleCar5,2.48,11.1,0.1,0.0
GentleCar6,2.48,11.1,0.1,0.0
GentleCar7,2.49,9.12,0.1,0.0
GentleCar8,2.49,8.9,0.1,0.0
GentleCar9,2.49,8.79,0.1,0.0
GentleCar10,2.55,2.74,0.1,0.0
GentleCar11,2.59,1.97,0.1,0.0
GentleCar12,2.59,1.97,0.1,0.0
GentleCar1,2.48,11.1,0.1,0.0
GentleCar2,2.48,11.1,0.1,0.0
GentleCar3,2.48,11.1,0.1,0.0
GentleCar4,2.48,11.1,0.1,0.0
GentleCar5,2.48,11.1,0.1,0.0
GentleCar6,2.48,11.1,0.1,0.0
GentleCar7,2.49,9.23,0.1,0.0
GentleCar8,2.49,9.01,0.1,0.0
GentleCar9,2.49,8.9,0.1,0.0
GentleCar10,2.55,2.85,0.1,0.0
GentleCar11,2.58,2.08,0.1,0.0
GentleCar12,2.58,2.08,0.1,0.0
GentleCar1,0.0,20,0.3,0.0
GentleCar2,0.0,20,0.3,0.0
GentleCar1,4.7,0.21,0.1,0.0
GentleCar2,4.7,0.21,0.1,0.0
GentleCar1,3.58,0.32,0.1,0.0
GentleCar2,3.58,0.32,0.1,0.0
GentleCar1,3.21,0.43,0.1,0.0
GentleCar2,3.21,0.43,0.1,0.0
GentleCar1,3.02,0.54,0.1,0.0
GentleCar2,3.02,0.54,0.1,0.0
GentleCar1,2.91,0.65,0.1,0.0
GentleCar2,2.91,0.65,0.1,0.0
GentleCar1,2.83,0.76,0.1,0.0
GentleCar2,2.83,0.76,0.1,0.0
GentleCar1,2.78,0.87,0.1,0.0
GentleCar2,2.78,0.87,0.1,0.0
GentleCar1,2.74,0.98,0.1,0.0
GentleCar2,2.74,0.98,0.1,0.0
GentleCar1,2.71,1.09,0.1,0.0
GentleCar2,2.71,1.09,0.1,0.0
GentleCar1,2.68,1.2,0.1,0.0
GentleCar2,2.68,1.2,0.1,0.0
GentleCar1,2.66,1.31,0.1,0.0
GentleCar2,2.66,1.31,0.1,0.0
GentleCar1,2.65,1.42,0.1,0.0
GentleCar2,2.65,1.42,0.1,0.0
GentleCar1,2.63,1.53,0.1,0.0
GentleCar2,2.63,1.53,0.1,0.0
GentleCar1,2.62,1.64,0.1,0.0
GentleCar2,2.62,1.64,0.1,0.0
GentleCar1,2.61,1.75,0.1,0.0
GentleCar2,2.61,1.75,0.1,0.0
GentleCar1,2.6,1.86,0.1,0.0
GentleCar2,2.6,1.86,0.1,0.0
GentleCar1,2.59,1.97,0.1,0.0
GentleCar2,2.59,1.97,0.1,0.0
GentleCar1,2.58,2.08,0.1,0.0
GentleCar2,2.58,2.08,0.1,0.0
GentleCar1,2.58,2.19,0.1,0.0
GentleCar2,2.58,2.19,0.1,0.0
GentleCar1,2.57,2.3,0.1,0.0
GentleCar2,2.57,2.3,0.1,0.0
GentleCar1,2.57,2.41,0.1,0.0
GentleCar2,2.57,2.41,0.1,0.0
GentleCar1,2.56,2.52,0.1,0.0
GentleCar2,2.56,2.52,0.1,0.0
GentleCar1,2.56,2.63,0.1,0.0
GentleCar2,2.56,2.63,0.1,0.0
GentleCar1,2.55,2.74,0.1,0.0
GentleCar2,2.55,2.74,0.1,0.0
GentleCar1,2.55,2.85,0.1,0.0
GentleCar2,2.55,2.85,0.1,0.0
GentleCar1,2.55,2.96,0.1,0.0
GentleCar2,2.55,2.96,0.1,0.0
GentleCar1,2.54,3.07,0.1,0.0
GentleCar2,2.54,3.07,0.1,0.0
GentleCar1,2.54,3.18,0.1,0.0
GentleCar2,2.54,3.18,0.1,0.0
GentleCar1,2.54,3.29,0.1,0.0
GentleCar2,2.54,3.29,0.1,0.0
GentleCar1,2.54,3.4,0.1,0.0
GentleCar2,2.54,3.4,0.1,0.0
GentleCar1,2.53,3.51,0.1,0.0
GentleCar2,2.53,3.51,0.1,0.0
GentleCar1,2.53,3.62,0.1,0.0
GentleCar2,2.53,3.62,0.1,0.0
GentleCar1,2.53,3.73,0.1,0.0
GentleCar2,2.53,3.73,0.1,0.0
GentleCar1,2.53,3.84,0.1,0.0
GentleCar2,2.53,3.84,0.1,0.0
GentleCar1,2.52,3.95,0.1,0.0
GentleCar2,2.52,3.95,0.1,0.0
GentleCar1,2.52,4.06,0.1,0.0
GentleCar2,2.52,4.06,0.1,0.0
GentleCar1,2.52,4.17,0.1,0.0
GentleCar2,2.52,4.17,0.1,0.0
GentleCar1,2.52,4.28,0.1,0.0
GentleCar2,2.52,4.28,0.1,0.0
GentleCar1,2.52,4.39,0.1,0.0
GentleCar2,2.52,4.39,0.1,0.0
GentleCar1,2.52,4.5,0.1,0.0
GentleCar2,2.52,4.5,0.1,0.0
GentleCar1,2.52,4.61,0.1,0.0
GentleCar2,2.52,4.61,0.1,0.0
GentleCar1,2.51,4.72,0.1,0.0
GentleCar2,2.51,4.72,0.1,0.0
GentleCar1,2.51,4.83,0.1,0.0
GentleCar2,2.51,4.83,0.1,0.0
GentleCar1,2.51,4.94,0.1,0.0
GentleCar2,2.51,4.94,0.1,0.0
GentleCar1,2.51,5.05,0.1,0.0
GentleCar2,2.51,5.05,0.1,0.0
GentleCar1,2.51,5.16,0.1,0.0
GentleCar2,2.51,5.16,0.1,0.0
GentleCar1,2.51,5.27,0.1,0.0
GentleCar2,2.51,5.27,0.1,0.0
GentleCar1,2.51,5.38,0.1,0.0
GentleCar2,2.51,5.38,0.1,0.0
GentleCar1,2.51,5.49,0.1,0.0
GentleCar2,2.51,5.49,0.1,0.0
GentleCar1,2.51,5.6,0.1,0.0
GentleCar2,2.51,5.6,0.1,0.0
GentleCar1,2.5,5.71,0.1,0.0
GentleCar2,2.5,5.71,0.1,0.0
GentleCar1,2.5,5.82,0.1,0.0
GentleCar2,2.5,5.82,0.1,0.0
GentleCar1,2.5,5.93,0.1,0.0
GentleCar2,2.5,5.93,0.1,0.0
GentleCar1,2.5,6.04,0.1,0.0
GentleCar2,2.5,6.04,0.1,0.0
GentleCar1,2.5,6.15,0.1,0.0
GentleCar2,2.5,6.15,0.1,0.0
GentleCar3,0.0,20,0.3,0.0
GentleCar1,2.5,6.26,0.1,0.0
GentleCar2,2.5,6.26,0.1,0.0
GentleCar3,4.7,0.21,0.1,0.0
GentleCar1,2.5,6.37,0.1,0.0
GentleCar2,2.5,6.37,0.1,0.0
GentleCar3,3.58,0.32,0.1,0.0
GentleCar1,2.5,6.48,0.1,0.0
GentleCar2,2.5,6.48,0.1,0.0
GentleCar3,3.21,0.43,0.1,0.0
GentleCar1,2.5,6.59,0.1,0.0
GentleCar2,2.5,6.59,0.1,0.0
GentleCar3,3.02,0.54,0.1,0.0
GentleCar1,2.5,6.7,0.1,0.0
GentleCar2,2.5,6.7,0.1,0.0
GentleCar3,2.91,0.65,0.1,0.0
GentleCar4,0.0,20,0.3,0.0
GentleCar1,2.5,6.81,0.1,0.0
GentleCar2,2.5,6.81,0.1,0.0
GentleCar3,2.83,0.76,0.1,0.0
GentleCar4,4.7,0.21,0.1,0.0
GentleCar1,2.5,6.92,0.1,0.0
GentleCar2,2.5,6.92,0.1,0.0
GentleCar3,2.78,0.87,0.1,0.0
GentleCar4,3.58,0.32,0.1,0.0
GentleCar1,2.5,7.03,0.1,0.0
GentleCar2,2.5,7.03,0.1,0.0
GentleCar3,2.74,0.98,0.1,0.0
GentleCar4,3.21,0.43,0.1,0.0
GentleCar1,2.5,7.14,0.1,0.0
GentleCar2,2.5,7.14,0.1,0.0
GentleCar3,2.71,1.09,0.1,0.0
GentleCar4,3.02,0.54,0.1,0.0
GentleCar1,2.5,7.25,0.1,0.0
GentleCar2,2.5,7.25,0.1,0.0
GentleCar3,2.68,1.2,0.1,0.0
GentleCar4,2.91,0.65,0.1,0.0
GentleCar1,2.49,7.36,0.1,0.0
GentleCar2,2.49,7.36,0.1,0.0
GentleCar3,2.66,1.31,0.1,0.0
GentleCar4,2.83,0.76,0.1,0.0
GentleCar1,2.49,7.47,0.1,0.0
GentleCar2,2.49,7.47,0.1,0.0
GentleCar3,2.65,1.42,0.1,0.0
GentleCar4,2.78,0.87,0.1,0.0
GentleCar1,2.49,7.58,0.1,0.0
GentleCar2,2.49,7.58,0.1,0.0
GentleCar3,2.63,1.53,0.1,0.0
GentleCar4,2.74,0.98,0.1,0.0
GentleCar1,2.49,7.69,0.1,0.0
GentleCar2,2.49,7.69,0.1,0.0
GentleCar3,2.62,1.64,0.1,0.0
GentleCar4,2.71,1.09,0.1,0.0
GentleCar1,2.49,7.8,0.1,0.0
GentleCar2,2.49,7.8,0.1,0.0
GentleCar3,2.61,1.75,0.1,0.0
GentleCar4,2.68,1.2,0.1,0.0
GentleCar1,2.49,7.91,0.1,0.0
GentleCar2,2.49,7.91,0.1,0.0
GentleCar3,2.6,1.86,0.1,0.0
GentleCar4,2.66,1.31,0.1,0.0
GentleCar1,2.49,8.02,0.1,0.0
GentleCar2,2.49,8.02,0.1,0.0
GentleCar3,2.59,1.97,0.1,0.0
GentleCar4,2.65,1.42,0.1,0.0
GentleCar1,2.49,8.13,0.1,0.0
GentleCar2,2.49,8.13,0.1,0.0
GentleCar3,2.58,2.08,0.1,0.0
GentleCar4,2.63,1.53,0.1,0.0
GentleCar1,2.49,8.24,0.1,0.0
GentleCar2,2.49,8.24,0.1,0.0
GentleCar3,2.58,2.19,0.1,0.0
GentleCar4,2.62,1.64,0.1,0.0
GentleCar1,2.49,8.35,0.1,0.0
GentleCar2,2.49,8.35,0.1,0.0
GentleCar3,2.57,2.3,0.1,0.0
GentleCar4,2.61,1.75,0.1,0.0
GentleCar1,2.49,8.46,0.1,0.0
GentleCar2,2.49,8.46,0.1,0.0
GentleCar3,2.57,2.41,0.1,0.0
GentleCar4,2.6,1.86,0.1,0.0
GentleCar1,2.49,8.57,0.1,0.0
GentleCar2,2.49,8.57,0.1,0.0
GentleCar3,2.56,2.52,0.1,0.0
GentleCar4,2.59,1.97,0.1,0.0
GentleCar1,2.49,8.68,0.1,0.0
GentleCar2,2.49,8.68,0.1,0.0
GentleCar3,2.56,2.63,0.1,0.0
GentleCar4,2.58,2.08,0.1,0.0
GentleCar1,2.49,8.79,0.1,0.0
GentleCar2,2.49,8.79,0.1,0.0
GentleCar3,2.55,2.74,0.1,0.0
GentleCar4,2.58,2.19,0.1,0.0
GentleCar1,2.49,8.9,0.1,0.0
GentleCar2,2.49,8.9,0.1,0.0
GentleCar3,2.55,2.85,0.1,0.0
GentleCar4,2.57,2.3,0.1,0.0
GentleCar1,2.49,9.01,0.1,0.0
GentleCar2,2.49,9.01,0.1,0.0
GentleCar3,2.55,2.96,0.1,0.0
GentleCar4,2.57,2.41,0.1,0.0
GentleCar1,2.49,9.12,0.1,0.0
GentleCar2,2.49,9.12,0.1,0.0
GentleCar3,2.54,3.07,0.1,0.0
GentleCar4,2.56,2.52,0.1,0.0
GentleCar1,2.49,9.23,0.1,0.0
GentleCar2,2.49,9.23,0.1,0.0
GentleCar3,2.54,3.18,0.1,0.0
GentleCar4,2.56,2.63,0.1,0.0
GentleCar1,2.49,9.34,0.1,0.0
GentleCar2,2.49,9.34,0.1,0.0
GentleCar3,2.54,3.29,0.1,0.0
GentleCar4,2.55,2.74,0.1,0.0
GentleCar1,2.49,9.45,0.1,0.0
GentleCar2,2.49,9.45,0.1,0.0
GentleCar3,2.54,3.4,0.1,0.0
GentleCar4,2.55,2.85,0.1,0.0
GentleCar1,2.49,9.56,0.1,0.0
GentleCar2,2.49,9.56,0.1,0.0
GentleCar3,2.53,3.51,0.1,0.0
GentleCar4,2.55,2.96,0.1,0.0
GentleCar1,2.49,9.67,0.1,0.0
GentleCar2,2.49,9.67,0.1,0.0
GentleCar3,2.53,3.62,0.1,0.0
GentleCar4,2.54,3.07,0.1,0.0
GentleCar1,2.49,9.78,0.1,0.0
GentleCar2,2.49,9.78,0.1,0.0
GentleCar3,2.53,3.73,0.1,0.0
GentleCar4,2.54,3.18,0.1,0.0
GentleCar1,2.49,9.89,0.1,0.0
GentleCar2,2.49,9.89,0.1,0.0
GentleCar3,2.53,3.84,0.1,0.0
GentleCar4,2.54,3.29,0.1,0.0
GentleCar1,2.49,10.0,0.1,0.0
GentleCar2,2.49,10.0,0.1,0.0
GentleCar3,2.52,3.95,0.1,0.0
GentleCar4,2.54,3.4,0.1,0.0
GentleCar1,2.49,10.11,0.1,0.0
GentleCar2,2.49,10.11,0.1,0.0
GentleCar3,2.52,4.06,0.1,0.0
GentleCar4,2.53,3.51,0.1,0.0
GentleCar1,2.49,10.22,0.1,0.0
GentleCar2,2.49,10.22,0.1,0.0
GentleCar3,2.52,4.17,0.1,0.0
GentleCar4,2.53,3.62,0.1,0.0
GentleCar1,2.48,10.33,0.1,0.0
GentleCar2,2.48,10.33,0.1,0.0
GentleCar3,2.52,4.28,0.1,0.0
GentleCar4,2.53,3.73,0.1,0.0
GentleCar1,2.48,10.44,0.1,0.0
GentleCar2,2.48,10.44,0.1,0.0
GentleCar3,2.52,4.39,0.1,0.0
GentleCar4,2.53,3.84,0.1,0.0
GentleCar1,2.48,10.55,0.1,0.0
GentleCar2,2.48,10.55,0.1,0.0
GentleCar3,2.52,4.5,0.1,0.0
GentleCar4,2.52,3.95,0.1,0.0
GentleCar1,2.48,10.66,0.1,0.0
GentleCar2,2.48,10.66,0.1,0.0
GentleCar3,2.52,4.61,0.1,0.0
GentleCar4,2.52,4.06,0.1,0.0
GentleCar1,2.48,10.77,0.1,0.0
GentleCar2,2.48,10.77,0.1,0.0
GentleCar3,2.51,4.72,0.1,0.0
GentleCar4,2.52,4.17,0.1,0.0
GentleCar1,2.48,10.88,0.1,0.0
GentleCar2,2.48,10.88,0.1,0.0
GentleCar3,2.51,4.83,0.1,0.0
GentleCar4,2.52,4.28,0.1,0.0
GentleCar1,2.48,10.99,0.1,0.0
GentleCar2,2.48,10.99,0.1,0.0
GentleCar3,2.51,4.94,0.1,0.0
GentleCar4,2.52,4.39,0.1,0.0
GentleCar1,2.48,11.1,0.1,0.0
GentleCar2,2.48,11.1,0.1,0.0
GentleCar3,2.51,5.05,0.1,0.0
GentleCar4,2.52,4.5,0.1,0.0
GentleCar1,2.48,11.1,0.1,0.0
GentleCar2,2.48,11.1,0.1,0.0
GentleCar3,2.51,5.16,0.1,0.0
GentleCar4,2.52,4.61,0.1,0.0
GentleCar1,2.48,11.1,0.1,0.0
GentleCar2,2.48,11.1,0.1,0.0
GentleCar3,2.51,5.27,0.1,0.0
GentleCar4,2.51,4.72,0.1,0.0
GentleCar1,2.48,11.1,0.1,0.0
GentleCar2,2.48,11.1,0.1,0.0
GentleCar3,2.51,5.38,0.1,0.0
GentleCar4,2.51,4.83,0.1,0.0
GentleCar1,2.48,11.1,0.1,0.0
GentleCar2,2.48,11.1,0.1,0.0
GentleCar3,2.51,5.49,0.1,0.0
GentleCar4,2.51,4.94,0.1,0.0
GentleCar1,2.48,11.1,0.1,0.0
GentleCar2,2.48,11.1,0.1,0.0
GentleCar3,2.51,5.6,0.1,0.0
GentleCar4,2.51,5.05,0.1,0.0
GentleCar1,2.48,11.1,0.1,0.0
GentleCar2,2.48,11.1,0.1,0.0
GentleCar3,2.5,5.71,0.1,0.0
GentleCar4,2.51,5.16,0.1,0.0
GentleCar1,2.48,11.1,0.1,0.0
GentleCar2,2.48,11.1,0.1,0.0
GentleCar3,2.5,5.82,0.1,0.0
GentleCar4,2.51,5.27,0.1,0.0
GentleCar1,2.48,11.1,0.1,0.0
GentleCar2,2.48,11.1,0.1,0.0
GentleCar3,2.5,5.93,0.1,0.0
GentleCar4,2.51,5.38,0.1,0.0
GentleCar1,2.48,11.1,0.1,0.0
GentleCar2,2.48,11.1,0.1,0.0
GentleCar3,2.5,6.04,0.1,0.0
GentleCar4,2.51,5.49,0.1,0.0
GentleCar1,2.48,11.1,0.1,0.0
GentleCar2,2.48,11.1,0.1,0.0
GentleCar3,2.5,6.15,0.1,0.0
GentleCar4,2.51,5.6,0.1,0.0
GentleCar5,0.0,20,0.3,0.0
GentleCar1,2.48,11.1,0.1,0.0
GentleCar2,2.48,11.1,0.1,0.0
GentleCar3,2.5,6.26,0.1,0.0
GentleCar4,2.5,5.71,0.1,0.0
GentleCar5,4.7,0.21,0.1,0.0
GentleCar1,2.48,11.1,0.1,0.0
GentleCar2,2.48,11.1,0.1,0.0
GentleCar3,2.5,6.37,0.1,0.0
GentleCar4,2.5,5.82,0.1,0.0
GentleCar5,3.58,0.32,0.1,0.0
GentleCar1,2.48,11.1,0.1,0.0
GentleCar2,2.48,11.1,0.1,0.0
GentleCar3,2.5,6.48,0.1,0.0
GentleCar4,2.5,5.93,0.1,0.0
GentleCar5,3.21,0.43,0.1,0.0
GentleCar1,2.48,11.1,0.1,0.0
GentleCar2,2.48,11.1,0.1,0.0
GentleCar3,2.5,6.59,0.1,0.0
GentleCar4,2.5,6.04,0.1,0.0
GentleCar5,3.02,0.54,0.1,0.0
GentleCar1,2.48,11.1,0.1,0.0
GentleCar2,2.48,11.1,0.1,0.0
GentleCar3,2.5,6.7,0.1,0.0
GentleCar4,2.5,6.15,0.1,0.0
GentleCar5,2.91,0.65,0.1,0.0
GentleCar1,2.48,11.1,0.1,0.0
GentleCar2,2.48,11.1,0.1,0.0
GentleCar3,2.5,6.81,0.1,0.0
GentleCar4,2.5,6.26,0.1,0.0
GentleCar5,2.83,0.76,0.1,0.0
GentleCar1,2.48,11.1,0.1,0.0
GentleCar2,2.48,11.1,0.1,0.0
GentleCar3,2.5,6.92,0.1,0.0
GentleCar4,2.5,6.37,0.1,0.0
GentleCar5,2.78,0.87,0.1,0.0
GentleCar1,2.48,11.1,0.1,0.0
GentleCar2,2.48,11.1,0.1,0.0
GentleCar3,2.5,7.03,0.1,0.0
GentleCar4,2.5,6.48,0.1,0.0
GentleCar5,2.74,0.98,0.1,0.0
GentleCar1,2.48,11.1,0.1,0.0
GentleCar2,2.48,11.1,0.1,0.0
GentleCar3,2.5,7.14,0.1,0.0
GentleCar4,2.5,6.59,0.1,0.0
GentleCar5,2.71,1.09,0.1,0.0
GentleCar1,2.48,11.1,0.1,0.0
GentleCar2,2.48,11.1,0.1,0.0
GentleCar3,2.5,7.25,0.1,0.0
GentleCar4,2.5,6.7,0.1,0.0
GentleCar5,2.68,1.2,0.1,0.0
GentleCar6,0.0,20,0.3,0.0
GentleCar1,2.48,11.1,0.1,0.0
GentleCar2,2.48,11.1,0.1,0.0
GentleCar3,2.49,7.36,0.1,0.0
GentleCar4,2.5,6.81,0.1,0.0
GentleCar5,2.66,1.31,0.1,0.0
GentleCar6,4.7,0.21,0.1,0.0
GentleCar1,2.48,11.1,0.1,0.0
GentleCar2,2.48,11.1,0.1,0.0
GentleCar3,2.49,7.47,0.1,0.0
GentleCar4,2.5,6.92,0.1,0.0
GentleCar5,2.65,1.42,0.1,0.0
GentleCar6,3.58,0.32,0.1,0.0
GentleCar1,2.48,11.1,0.1,0.0
GentleCar2,2.48,11.1,0.1,0.0
GentleCar3,2.49,7.58,0.1,0.0
GentleCar4,2.5,7.03,0.1,0.0
GentleCar5,2.63,1.53,0.1,0.0
GentleCar6,3.21,0.43,0.1,0.0
GentleCar1,2.48,11.1,0.1,0.0
GentleCar2,2.48,11.1,0.1,0.0
GentleCar3,2.49,7.69,0.1,0.0
GentleCar4,2.5,7.14,0.1,0.0
GentleCar5,2.62,1.64,0.1,0.0
GentleCar6,3.02,0.54,0.1,0.0
GentleCar1,2.48,11.1,0.1,0.0
GentleCar2,2.48,11.1,0.1,0.0
GentleCar3,2.49,7.8,0.1,0.0
GentleCar4,2.5,7.25,0.1,0.0
GentleCar5,2.61,1.75,0.1,0.0
GentleCar6,2.91,0.65,0.1,0.0
GentleCar1,2.48,11.1,0.1,0.0
GentleCar2,2.48,11.1,0.1,0.0
GentleCar3,2.49,7.91,0.1,0.0
GentleCar4,2.49,7.36,0.1,0.0
GentleCar5,2.6,1.86,0.1,0.0
GentleCar6,2.83,0.76,0.1,0.0
GentleCar1,2.48,11.1,0.1,0.0
GentleCar2,2.48,11.1,0.1,0.0
GentleCar3,2.49,8.02,0.1,0.0
GentleCar4,2.49,7.47,0.1,0.0
GentleCar5,2.59,1.97,0.1,0.0
GentleCar6,2.78,0.87,0.1,0.0
GentleCar1,2.48,11.1,0.1,0.0
GentleCar2,2.48,11.1,0.1,0.0
GentleCar3,2.49,8.13,0.1,0.0
GentleCar4,2.49,7.58,0.1,0.0
GentleCar5,2.58,2.08,0.1,0.0
GentleCar6,2.74,0.98,0.1,0.0
GentleCar1,2.48,11.1,0.1,0.0
GentleCar2,2.48,11.1,0.1,0.0
GentleCar3,2.49,8.24,0.1,0.0
GentleCar4,2.49,7.69,0.1,0.0
GentleCar5,2.58,2.19,0.1,0.0
GentleCar6,2.71,1.09,0.1,0.0
GentleCar1,2.48,11.1,0.1,0.0
GentleCar2,2.48,11.1,0.1,0.0
GentleCar3,2.49,8.35,0.1,0.0
GentleCar4,2.49,7.8,0.1,0.0
GentleCar5,2.57,2.3,0.1,0.0
GentleCar6,2.68,1.2,0.1,0.0
GentleCar1,2.48,11.1,0.1,0.0
GentleCar2,2.48,11.1,0.1,0.0
GentleCar3,2.49,8.46,0.1,0.0
GentleCar4,2.49,7.91,0.1,0.0
GentleCar5,2.57,2.41,0.1,0.0
GentleCar6,2.66,1.31,0.1,0.0
GentleCar1,2.48,11.1,0.1,0.0
GentleCar2,2.48,11.1,0.1,0.0
GentleCar3,2.49,8.57,0.1,0.0
GentleCar4,2.49,8.02,0.1,0.0
GentleCar5,2.56,2.52,0.1,0.0
GentleCar6,2.65,1.42,0.1,0.0
GentleCar1,2.48,11.1,0.1,0.0
GentleCar2,2.48,11.1,0.1,0.0
GentleCar3,2.49,8.68,0.1,0.0
GentleCar4,2.49,8.13,0.1,0.0
GentleCar5,2.56,2.63,0.1,0.0
GentleCar6,2.63,1.53,0.1,0.0
GentleCar1,2.48,11.1,0.1,0.0
